D,C,D
SiteDeSocializare,2.9,Da,Nu
SiteDeSocializare,1.7,Da,Nu
SiteDeSocializare,3.4,Da,Nu
SiteDeSocializare,2.3,Nu,Da
MaşinaAlimentatăCuCombustibilBio,3.4,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,6.1,Da,Da
MaşinaAlimentatăCuCombustibilBio,5.6,Nu,Nu
MaşinaAlimentatăCuCombustibilBio,0.6,Nu,Nu
NanoVaccin,1.9,Nu,Nu
NanoVaccin,2.9,Nu,Da
NanoVaccin,3.1,Da,Da
NanoVaccin,0.3,Da,Nu